RecordID,event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
166,sindria_terrorists,end1,,,news,Os ataques terroristas em Sindria cessaram.,"Vários esconderijos terroristas foram invadidos pelas forças de segurança de Diktat numa operação repentina no início da manhã. Munições armazenadas inadequadamente detonaram, dizem as autoridades, não deixando sobreviventes.",Os níveis de produção voltam ao normal em Sindria.,,,,,
105,analyze_entity,success,,,player_intel_always,Concluído: execute o pacote de sensores em $entityName em $systemName,Missão concluída com sucesso.,$rewardCredits ganhou.,,,"no_system_prefix, important",,
102,analyze_entity,posting,,,posting,Execute o pacote de sensores fornecido em $entityName em $systemName dentro de $daysLeft para pagamento de $rewardCredits.,A missão será considerada concluída e o pagamento será postado imediatamente após a execução do pacote de sensores.,$locationHint,,,no_system_prefix,,
165,sindria_terrorists,concluding2,,,news,Ataques terroristas terminando em Sindria,Um capanga terrorista foi capturado e interrogado pela inteligência Diktat. As autoridades afirmam que a caça aos líderes terroristas está chegando ao fim.,A produção em Sindria retornará em breve aos níveis normais.,,,,,
67,system_bounty,start,,,news,Recompensa oferecida por $market,"As autoridades $onOrAt $market, fartas dos ataques constantes ao transporte marítimo, da interrupção do comércio e do estado geral de quase guerra, colocaram uma recompensa por toda e qualquer frota hostil a $theMarketFaction.","Durará $daysLeft dias.

O valor pago depende dos navios destruídos (começando com $baseBounty créditos para uma fragata). Ficar com $theMarketFaction também pode melhorar.

Os navios devem ser destruído ou desativado no sistema ou próximo ao hiperespaço.

Pagamento entregue via canal de comunicação seguro por meio de um retransmissor de comunicação próximo.
",,,,,
146,civil_disorder,likely,,,player_intel,Provável desordem civil $onOrAt $market,Há indicadores de que é quase certo que a desordem civil ocorrerá $onOrAt $market dentro de algumas semanas.,Diminuição da produção $onOrAt $market.,,,,,
83,person_bounty,bounty_no_rep_end,,,player_intel_always,Avaliação referente a: recompensa $targetName,A mensagem contém um relatório de inteligência interna sobre a recompensa por $targetName.,Nenhum pagamento de recompensa ou melhoria de relacionamento devido ao fato de $theFaction ser $factionStanding com você.,,,nomap,,
25,investigation_smuggling,clear_smuggling_bribe,,,player_intel_always,Investigação de contrabando $onOrAt $market - liberada,"A investigação de contrabando de $marketFaction foi concluída de acordo com seu ""acordo especial"" com $investigatorName, e essa mancha específica em sua reputação foi apagada.","O suborno para $InvestigatorPost $investigatorName foi eficaz.

O relacionamento com $theMarketFaction não foi afetado.",,,important,,
16,food_shortage,end_expired,,,news,Escassez de alimentos $onOrAt $market acabou,"O relatório indica que a escassez de alimentos $onOrAt $market acabou. Vários factores, incluindo o racionamento rigoroso, medidas de supressão de motins e a chegada de vários comerciantes independentes, são todos considerados responsáveis pelo fim da escassez.","A agitação aumentou em $stabilityPenaltyExpire.
Os preços dos alimentos $onOrAt $market voltaram aos níveis normais.",,graphics/icons/markets/food_shortage.png,prices,,
97,market_procurement,success,,,player_intel_always,Concluído: $quantity unidade(s) de $commodity entregue(s) a $market,Missão concluída com sucesso.,$actualReward ganhou.,,,"no_system_prefix, important",,
162,sindria_terrorists,continued1,,,news,Ataques terroristas em Sindria,Várias explosões abalaram os níveis superiores das principais cidades colmeias; líderes terroristas divulgaram uma declaração holovida dizendo que os bombardeios continuarão até que certos presos políticos detidos em Cruor sejam libertados pelas autoridades Diktat.,Diminuição da produção em Sindria.,,,,,"may proceed through zero or more of the ""continued"" event stages before reaching one of the concluding stages."
81,person_bounty,bounty_payment_share_end,,,secure_comm,Pagamento de recompensa de $theFaction: $bountyCredits créditos,"mensagem tem um anexo criptografado que contém sua parte da recompensa, no valor de $bountyCredits créditos, por levar $targetName à justiça.",$bountyCredits créditos ganhos.,,graphics/icons/intel/gain_credits.png,nomap,,
1,food_shortage,possible,,,player_intel,Possível escassez de alimentos $onOrAt $market,A análise da inteligência obtida a partir de comunicações interceptadas e outras fontes sugere que é provável que ocorra uma escassez de alimentos $onOrAt $market dentro de algumas semanas.,Aumento dos preços dos alimentos e redução da estabilidade $onOrAt $market se ocorrer escassez.,,graphics/icons/markets/food_shortage.png,,,
109,survey_planet,accept,,,secure_comm,Aceito: faça uma pesquisa completa em $planetName em $systemName,"Recompensa $rewardCredits, deve ser concluída em $daysLeft.

A missão será considerada concluída e o pagamento será postado imediatamente após a conclusão da pesquisa.",$surveyInfo,,,"no_system_prefix, important",,
28,investigation_goodrep,start_goodrep,,,secure_comm,$MarketFaction investigação de seus vínculos com $OtherFaction,Uma mensagem criptografada de um de seus contatos $onOrAt $market avisa que as autoridades de $theMarketFaction iniciaram uma investigação sobre suas ligações com $theOtherFactionLong.,"$TheMarketFaction pode se tornar hostil com você como resultado da investigação.

$InvestigatorPost $investigatorName $onOrAt $market é encarregado de conduzir a investigação. Você pode influenciar o resultado entrando em contato com $invHimOrHer.

A investigação durará $duration.",,,important,,
70,system_bounty,bounty_payment_share,,,secure_comm,Pagamento de recompensa de $market: $bountyCredits créditos,"A mensagem tem um anexo criptografado que contém sua parte da recompensa, chegando a $bountyCredits créditos.","$bountyCredits créditos ganhos.

$market continuará a oferecer a recompensa por $daysLeft dia(s).",,graphics/icons/intel/gain_credits.png,nomap,,
80,person_bounty,bounty_payment_end,,,secure_comm,Pagamento de recompensa de $theFaction: $bountyCredits créditos,A mensagem tem um anexo criptografado que contém um pagamento de $bountyCredits créditos por levar $targetName à justiça.,$bountyCredits créditos ganhos.,,graphics/icons/intel/gain_credits.png,nomap,,
8,food_shortage,warning_relief,,,player_intel,Escassez de alimentos $onOrAt $market: ajuda sendo organizada em $reliefMarket,A análise do tráfego de comunicação indica que uma frota de socorro está sendo organizada em $reliefMarket em $reliefSystem e será enviada para $market em um futuro próximo.,"A frota transporta alimentos suficientes para acabar com a escassez.

Se a frota não chegar como esperado, a situação em $market irá desestabilizar-se ainda mais.",,graphics/icons/markets/food_shortage.png,,,
167,sindria_terrorists,end2,,,news,Os ataques terroristas em Sindria cessaram.,"As forças de segurança Diktat capturaram líderes terroristas que tentavam fugir de Sindria. As autoridades declararam que, depois de serem interrogados pela Diktat Intelligence, haverá um julgamento rápido e uma execução pública.",Os níveis de produção voltam ao normal em Sindria.,,,,,"Like a Cardassian novel, everyone arrested in Sindria is guilty - the only question remains: of what?"
40,trade_disruption,report_smuggling_player,,,news,Atividade de contrabando $onOrAt $market no sistema $marketSistema,"A situação $onOrAt $market tornou-se menos estável como resultado da recente atividade de contrabando, na qual você esteve envolvido. As autoridades locais prometem uma investigação completa.","Estabilidade reduzida em $smugglingPenalty.

Suas ações recentes contribuíram para a situação.",,graphics/icons/markets/smuggling.png,,,
15,food_shortage,relief_lost,,,news,Escassez de alimentos $onOrAt $market: frota de socorro perdida,A frota de socorro de $reliefMarket não chegou ao seu destino e a escassez de alimentos continua inabalável.,A agitação aumentou em $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
17,food_shortage,end_player,,,news,Escassez de alimentos $onOrAt $market acabou,"O relatório indica que a escassez de alimentos $onOrAt $market acabou. A chegada de uma frota de socorro comandada por $playerName é responsável pelo fim da escassez, embora um administrador local tenha sido rápido em apontar suas próprias contribuições.","A agitação aumentou em $stabilityPenaltyEnd.
Os preços dos alimentos $onOrAt $market voltaram aos níveis normais.",,graphics/icons/markets/food_shortage.png,prices,,
82,person_bounty,bounty_no_payment_end,,,player_intel_always,Avaliação referente a: recompensa $targetName,A mensagem contém um relatório de inteligência interna sobre a recompensa por $targetName.,Nenhum pagamento de recompensa devido ao fato de $theFaction ser $factionStanding para você.,,,nomap,,
135,faction_hostility,warning,,,secure_comm,Hostilidades iminentes entre $theOneFaction e $theTwoFaction,"Você recebe um aviso de $theCommissionFaction de que o estado geral da guerra fria com $theOtherFaction certamente dará lugar a hostilidades abertas em questão de semanas, no máximo.","$TheOtherFaction se tornará hostil com você, pois você detém uma comissão $commissionFaction.

Sua posição com $theOtherFaction será restaurada principalmente após o término das hostilidades.",,graphics/icons/intel/faction_conflict.png,important,,
71,system_bounty,bounty_no_payment,,,player_intel_always,Avaliação referente a: recompensa de $market,A mensagem contém um relatório de inteligência interna sobre a recompensa oferecida por $market.,"Nenhum pagamento de recompensa porque $theMarketFaction é $factionStanding para você.

$market continuará a oferecer a recompensa por $daysLeft dia(s).",,,nomap,,
163,sindria_terrorists,continued2,,,news,Ataques terroristas em Sindria,"Homens armados terroristas invadiram hoje um centro de recrutamento naval de Diktat. Todos foram mortos em um tiroteio que durou horas, causando dezenas de vítimas civis. Os funcionários do Diktat condenaram o ato covarde.",Diminuição da produção em Sindria.,,,,,""""
98,market_procurement,success_bonus,,,player_intel_always,Concluído: $quantity unidade(s) de $commodity entregue(s) a $market,Missão concluída com sucesso.,"$actualReward ganho, incluindo bônus de $bonusCredits.",,,"no_system_prefix, important",,
141,civil_disorder,possible2,,,news,Possível desordem civil $onOrAt $market,Um intelectual proeminente $onOrAt $market divulgou uma declaração crítica a $rulingfaction e foi preso pouco depois. Os funcionários de $rulingfaction não fizeram comentários.,Aumento dos sinais de desordem civil $onOrAt $market.,,,,,
3,food_shortage,likely,0.5,HOSTILE,hegemony_internal,Provável escassez de alimentos $onOrAt $market,Este relatório indica que é quase certo que ocorrerá uma escassez de alimentos $onOrAt $market e aconselha as unidades na área sobre que medidas podem ser tomadas para maximizar o seu impacto.,"Frota de socorro provavelmente enviada de um sistema estelar próximo; interceptá-lo aumentará a escassez e desestabilizará ainda mais $market.

Vender alimentos no mercado negro aumentará a agitação pós-escassez.",,graphics/icons/markets/food_shortage.png,,,
153,civil_disorder,ending4,,,news,,Foram abertas conversações entre $rulingFaction e os líderes da oposição $onOrAt $market.,A produção provavelmente retornará em breve aos níveis normais.,,,,,
108,survey_planet,posting,,,posting,Faça uma pesquisa completa em $planetName em $systemName dentro de $daysLeft pelo pagamento de $rewardCredits.,A missão será considerada concluída e o pagamento será postado imediatamente após a conclusão da pesquisa.,$surveyInfo,,,no_system_prefix,,
94,market_procurement,posting_bonus,,,posting,Adquira $quantity unidades de $commodity e entregue em $market dentro de $daysLeft por um pagamento de $rewardCredits. Bônus de $bonusCredits para entrega dentro de $bonusDays.,Entre em contato com $contactDesc $contactName em $market para concluir a entrega.,"O pagamento base é de $perUnit por unidade.

$market é controlado pelas $marketautoridades da Facção.

$contactName $contactDetail.",,,,,
11,food_shortage,relief_sent,,,news,Escassez de alimentos $onOrAt $market: ajuda enviada por $reliefMarket,Uma frota de socorro está em andamento em $reliefMarket no sistema $reliefSystem e deverá chegar em $marketSystem $eta.,"A frota transporta alimentos suficientes para acabar com a escassez.

Se a frota não chegar como esperado, a situação em $market irá desestabilizar-se ainda mais.",,graphics/icons/markets/food_shortage.png,,,
23,investigation_smuggling,start_smuggling,,,secure_comm,Investigação de contrabando $onOrAt $market,Uma mensagem criptografada de um de seus contatos no submundo de $market avisa que as autoridades de $theMarketFaction iniciaram uma investigação sobre a recente atividade de contrabando.,"Se a investigação descobrir que você está envolvido no contrabando, $theMarketFaction se tornará inóspito com você.

$InvestigatorPost $investigatorName é encarregado de conduzir a investigação. Você pode influenciar o resultado entrando em contato com $invHimOrHer.

A investigação durará $duration.",,,important,,
149,civil_disorder,start3,,,news,Desordem civil $onOrAt $market,Atos de sabotagem paralisaram grandes centros de produção $onOrAt $market.,Diminuição da produção $onOrAt $market.,,,,,
117,tutorial_mission,salvage_core_start,,,player_intel_always,Salve um núcleo de IA de um abandonado,"A análise dos dados do ponto de salto requer um AI Core.

Há uma sonda de pesquisa da era do Domínio fora da órbita de Pontus. Se recuperado, é provável que produza um núcleo de IA gama, que deve ser suficiente para a tarefa.","Vá para Pontus, vá em direção ao cinturão de asteróides e use um Active Sensor Burst para localizar a sonda. 

Aproxime-se e recupere-o, ou transforme-o em sucata e vasculhe o campo de destroços resultante.

É provável que você tenha que superar algumas defesas automatizadas primeiro.",,,"no_system_prefix, important",,
148,civil_disorder,start2,,,news,Desordem civil $onOrAt $market,Ocorreu uma série de atentados contra $rulingparty instalações $onOrAt $market. Foi feita uma declaração oficial prometendo que os perpetradores seriam levados à justiça.,Diminuição da produção $onOrAt $market.,,,,,
7,food_shortage,start,0.25,SELF,hegemony_public,Suposta escassez de alimentos $onOrAt $market,"O relatório nega categoricamente quaisquer rumores de escassez de alimentos $onOrAt $market e incentiva os cidadãos responsáveis a fazerem a sua parte, denunciando qualquer pessoa suspeita de espalhar rumores maliciosos.","Aumento dos preços dos alimentos $onOrAt $market.

Estabilidade reduzida em $stabilityPenalty.

Aproximadamente $neededFood unidades de alimentos necessárias para acabar com a escassez.

Provável frota de socorro para ser enviado de um sistema estelar próximo.

Maior impacto na reputação da venda de alimentos. A venda de alimentos no mercado negro aumentará a agitação pós-escassez.",,graphics/icons/markets/food_shortage.png,prices,,
143,civil_disorder,possible3,,HOSTILE,"tritachyon_public,
hegemony_public",Possível desordem civil $onOrAt $market,$faction divulgou um comunicado condenando a repressão desnecessariamente dura $rulingFaction aos protestos $onOrAt $market.,Aumento dos sinais de desordem civil $onOrAt $market.,,,,,possible reaction to the above event
43,rep_tracker,trade_rep,,,player_intel_always,A posição com $theFaction melhorou devido à troca,Há indicações de que sua atividade comercial recente em $marketList foi anotada por $theFaction.,,,,nomap,,
157,,,,,,,,,,,,,
112,,,,,,,,,,,,,
120,tutorial_mission,ship_recovery_end,,,player_intel_always,Volte para Ancyra e equipe os navios recuperados,Volte para $mainContactPost $mainContactLastName em Ancyra para obter ajuda para equipar os navios recuperados com armas.,,,,"no_system_prefix, important",,
64,,,,,,,,,,,,,
62,customs_inspection,player_evaded,,,player_intel_always,Inspecção aduaneira,"A sua evasão à fiscalização aduaneira, embora bem sucedida a curto prazo, foi constatada pelas autoridades $faction.",,,,,,
124,tutorial_mission,end,,,player_intel_always,Relatório entregue,Você entregou o relatório e sua posição junto à Hegemonia aumentou substancialmente.,,,,"no_system_prefix, important",,
104,analyze_entity,failure,,,player_intel_always,Falha: execute o pacote do sensor em $entityName em $systemName,Missão falhada - prazo não cumprido.,,,,"no_system_prefix, important",,
118,tutorial_mission,salvage_core_end,,,player_intel_always,Retorne a Ancyra com o núcleo de IA,Volte para Ancyra e entre em contato com $mainContactPost $mainContactLastName para entregar o núcleo de IA.,,,,"no_system_prefix, important",,
138,,,,,,,,,,,,,
113,# tutorial mission,,,,,,,,,,,,
107,# survey planet mission,,,,,,,,,,,,
49,rep_tracker,rep_decay_positive,,,player_intel_always,Ficar com $theFaction melhorou,"Pequenas ofensas e ofensas são esquecidas depois de um tempo, se não forem reforçadas por um padrão recente de comportamento.",,,,nomap,,
53,rep_tracker,comm_access_revoked,,,player_intel_always,$Faction acesso à comunicação segura revogado,"Devido à sua posição reduzida ($factionStanding), seu acesso aos canais de comunicação internos $Faction foi revogado.",,,,nomap,,
100,,,,,,,,,,,,,
125,,,,,,,,,,,,,
87,# test mission,,,,,,,,,,,,
74,,,,,,,,,,,,,
89,test_mission,end_success,,,player_intel_always,Missão de teste concluída com sucesso,Missão de teste concluída com sucesso.,,,,,,
127,faction_commission,posting,,,posting,"Necessário para a maioria das compras no mercado militar e paga uma pequena recompensa aos inimigos da facção, que se tornarão hostis ao titular da comissão.","A recompensa começa com $baseBounty créditos para uma fragata inimiga e sobe para navios maiores.

Será anulada se a reputação do detentor da comissão com $theFaction cair abaixo de neutro.",,,,important,,
52,rep_tracker,comm_access_granted,,,player_intel_always,$Faction acesso de comunicação seguro concedido,"Devido à sua situação regular ($factionStanding), você recebeu acesso aos canais de comunicação internos $Faction das autoridades $onOrAt $market.",,,,nomap,,
63,,,,,,,,,,,,,
91,,,,,,,,,,,,,
90,test_mission,end_failure,,,player_intel_always,Missão de teste concluída com falha,A missão de teste falhou.,,,,,,
106,,,,,,,,,,,,,
42,# rep changes,,,,,,,,,,,,
41,,,,,,,,,,,,,
76,,,,,,,,,,,,,
156,,,,,,,,,,,,,
134,# faction hostility,,,,,,,,,,,,
31,investigation_goodrep,player_guilty_goodrep,,,player_intel_always,$MarketFaction investigação sobre suas ligações com $OtherFaction - condenado,A investigação de $marketFaction sobre seus vínculos com $theOtherFactionLong concluiu que você tem agido contra os interesses de $theMarketFaction. É claro que você será tratado com especial suspeita por $theMarketFaction.,,,,important,,
129,faction_commission,become_hostile,,,secure_comm,$otherFaction agora é hostil,"Devido a você ter aceitado uma comissão com $theFaction, $theOtherFactionLong agora é hostil com você.",,,,"important, nomap",,
44,rep_tracker,smuggling_rep,,,player_intel_always,Posição com $theFaction reduzida devido ao contrabando,"Há indícios de que sua recente negociação no mercado negro com $marketList foi anotada por $theFaction. Não há provas conclusivas, mas está claro que suas ações estão sendo examinadas mais de perto do que antes.",,,,nomap,,
32,,,,,,,,,,,,,
21,,,,,,,,,,,,,
60,,,,,,,,,,,,,
61,# customs inspection,,,,,,,,,,,,
77,# person bounty reports,,,,,,,,,,,,
33,# comm sniffer investigation,,,,,,,,,,,,
37,# trade disruption reports,,,,,,,,,,,,
110,survey_planet,failure,,,player_intel_always,Falha: execute uma pesquisa completa em $planetName em $systemName,Missão falhada - prazo não cumprido.,,,,"no_system_prefix, important",,
36,,,,,,,,,,,,,
126,# faction commission,,,,,,,,,,,,
22,# player smuggling investigation,,,,,,,,,,,,
122,tutorial_mission,stabilize_jump_point_done,,,player_intel_always,Volte para Ancyra e relate seu sucesso,"conexão da Galácia com o hiperespaço foi restaurada e as frotas comerciais podem mais uma vez entrar e sair do sistema.

A liderança de Derinkuyu certamente será derrubada em breve por mineiros comuns ansiosos por ficar do lado certo da lei mais uma vez.",,,,"no_system_prefix, important",,
136,faction_hostility,start,,,news,Hostilidades abertas entre $theOneFaction e $theTwoFaction,"O estado geral de guerra fria entre $theOneFaction e $theTwoFaction deu lugar a hostilidades abertas.

No entanto, não são esperadas grandes ações da frota ou ataques a centros populacionais, e a maioria dos especialistas prevê que algum tipo de paz o acordo será feito dentro de um ciclo.",,,graphics/icons/intel/faction_conflict.png,important,,
35,investigation_comm_sniffer,player_guilty_comm_sniffer,,,player_intel_always,Sniffer de comunicação em $name rastreado até você,Uma auditoria completa dos registros de segurança em $name resultou na culpabilização de você pela violação de segurança.,,,,,,
50,#rep_tracker,rep_decay_negative,,,player_intel_always,Permanente com $theFaction reduzido,"Pequenas ofensas e pequenos favores são rapidamente esquecidos, se não forem reforçados por um padrão recente de comportamento.",,,,,,
92,# market procurement mission,,,,,,,,,,,,
20,,,,,,,,,,,,,
114,tutorial_mission,start,,,secure_comm,Comunicação segura da Ancyra,"Você recebe uma comunicação estreita do principal mundo habitado do sistema, Ancyra.

A mensagem é breve e pede que você viaje até lá e entre em contato com $mainContactPost $mainContactName o mais rápido possível.",,,,"no_system_prefix, important",,
133,,,,,,,,,,,,,
27,# faction good reputation investigation,,,,,,,,,,,,
54,,,,,,,,,,,,,
99,market_procurement,failure,,,player_intel_always,Falha: falha na entrega de $quantity unidade(s) de $commodity para $market a tempo,Missão falhada - prazo não cumprido.,,,,"no_system_prefix, important",,
26,investigation_smuggling,player_guilty_smuggling,,,player_intel_always,Investigação de contrabando $onOrAt $market - condenado,"A investigação $marketFaction concluiu que você esteve, de fato, envolvido na recente atividade de contrabando.",,,,important,,
101,# analyze entity mission,,,,,,,,,,,,
119,tutorial_mission,ship_recovery_start,,,player_intel_always,Recupere navios abandonados ao redor de Tetra,"Vá até o cemitério de navios ao redor de Tetra e recupere o máximo de navios possível.

Traga tripulação extra para tripular os navios recuperados e suprimentos extras para ajudar a restaurar sua prontidão de combate.",,,,"no_system_prefix, important",,
55,# trade info updates (prices etc),,,,,,,,,,,,
121,tutorial_mission,stabilize_jump_point,,,player_intel_always,Estabilize o ponto de salto do sistema interno,"Use a sequência de hiperondas produzida pelo núcleo de IA para estabilizar o ponto de salto do sistema interno.

Você terá que derrotar os piratas que o protegem primeiro.",,,,"no_system_prefix, important",,
116,tutorial_mission,sneak_end,,,player_intel_always,Volte para Ancyra com os dados,Retorne para Ancyra e entre em contato com $mainContactPost $mainContactLastName para entregar os dados do ponto de salto.,,,,"no_system_prefix, important",,
123,tutorial_mission,deliver_message,,,player_intel_always,Entregar relatório para Jangala no sistema Corvus,"$MainContactRank $mainContactLastName encarregou você de entregar um relatório detalhando os eventos recentes ao $jangalaContactPost $jangalaContactLastName em Jangala.

Certifique-se de ter combustível suficiente para fazer a viagem com sucesso.",,,,"no_system_prefix, important",,
139,# civil disorder,,,,,,,,,,,,
65,# system-wide bounty reports,,,,,,,,,,,,
86,,,,,,,,,,,,,
